[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
‎[6/14/23, 17:25:54] investklimat: ‎<прикреплено: 00000615-AUDIO-2023-06-14-17-25-53.opus>
[6/14/23, 17:27:00] Хабиб Вентиляция : 300р пусть будет
‎[6/14/23, 18:37:48] investklimat: ‎<прикреплено: 00000617-AUDIO-2023-06-14-18-37-47.opus>
[6/14/23, 18:38:20] Хабиб Вентиляция : Нет брат
[6/14/23, 18:39:00] Хабиб Вентиляция : Тоже мы будем делать?
[6/14/23, 18:39:57] investklimat: Да
‎[6/14/23, 18:40:08] investklimat: ‎<прикреплено: 00000621-PHOTO-2023-06-14-18-40-07.jpg>
‎[6/14/23, 18:40:15] investklimat: ‎<прикреплено: 00000622-AUDIO-2023-06-14-18-40-14.opus>
‎[6/14/23, 18:40:55] investklimat: ‎<прикреплено: 00000623-AUDIO-2023-06-14-18-40-54.opus>
[6/14/23, 18:42:05] Хабиб Вентиляция : 2 отверстие 4 расширение
‎[6/14/23, 18:42:49] investklimat: ‎<прикреплено: 00000625-AUDIO-2023-06-14-18-42-49.opus>
[6/14/23, 18:43:18] investklimat: 6х300 = 1800
[6/14/23, 18:43:23] investklimat: Так?
[6/14/23, 18:43:43] Хабиб Вентиляция : Да
[6/14/23, 18:43:48] investklimat: Ок
[6/14/23, 18:44:37] Хабиб Вентиляция : 9 рабочих дней понедельник выходной был
[6/14/23, 18:44:58] Хабиб Вентиляция : Воскресенье до вечера по работали брат и уехали
[6/14/23, 18:45:08] investklimat: Ок
‎[6/14/23, 18:54:55] investklimat: Документ-2023-06-14-185445.pdf • ‎1 страница ‎<прикреплено: 00000633-Документ-2023-06-14-185445.pdf>
‎[6/14/23, 19:25:47] Хабиб Вентиляция : ‎<прикреплено: 00000634-PHOTO-2023-06-14-19-25-47.jpg>
[6/14/23, 19:25:58] Хабиб Вентиляция : Это по резать ровно с ригелем
[6/14/23, 19:27:13] investklimat: Это на лестницу которая выходит?
[6/14/23, 19:27:34] Хабиб Вентиляция : Да
‎[6/14/23, 20:01:32] Хабиб Вентиляция : ‎<прикреплено: 00000640-AUDIO-2023-06-14-20-01-32.opus>
‎[6/14/23, 20:05:50] Хабиб Вентиляция : ‎<прикреплено: 00000642-AUDIO-2023-06-14-20-05-50.opus>
‎[6/14/23, 21:27:53] investklimat: ‎<прикреплено: 00000646-AUDIO-2023-06-14-21-27-52.opus>
‎[6/14/23, 21:30:16] investklimat: ‎<прикреплено: 00000647-AUDIO-2023-06-14-21-30-15.opus>
‎[6/14/23, 21:36:04] Хабиб Вентиляция : ‎<прикреплено: 00000648-AUDIO-2023-06-14-21-36-04.opus>
‎[6/14/23, 21:57:37] investklimat: ‎<прикреплено: 00000649-AUDIO-2023-06-14-21-57-36.opus>
‎[6/14/23, 21:58:54] Хабиб Вентиляция : ‎<прикреплено: 00000650-AUDIO-2023-06-14-21-58-54.opus>
‎[6/14/23, 23:40:40] Хабиб Вентиляция : ‎<прикреплено: 00000653-PHOTO-2023-06-14-23-40-40.jpg>
‎[6/14/23, 23:40:53] Хабиб Вентиляция : ‎<прикреплено: 00000654-AUDIO-2023-06-14-23-40-53.opus>
[6/14/23, 23:52:36] investklimat: 👍
[6/16/23, 12:21:28] Хабиб Вентиляция : Ассаламу алайкум
[6/16/23, 12:21:34] Хабиб Вентиляция : Пенафол есть целый рулон
[6/16/23, 12:21:36] Хабиб Вентиляция : Не нужно?
[6/16/23, 12:22:34] investklimat: Валейкум Ассалам
[6/16/23, 12:22:44] investklimat: Пока не нужен
[6/17/23, 21:58:05] Хабиб Вентиляция : Ассаламу алайкум
[6/17/23, 21:58:11] Хабиб Вентиляция : Я в городе брат
[6/17/23, 21:58:34] investklimat: Валейкум Ассалам
[6/17/23, 21:58:43] investklimat: Давай завтра увидимся
[6/17/23, 21:58:53] Хабиб Вентиляция : Хорошо
[6/17/23, 21:58:58] Хабиб Вентиляция : Работа есть?
‎[6/17/23, 21:59:39] investklimat: ‎<прикреплено: 00000667-AUDIO-2023-06-17-21-59-38.opus>
[6/17/23, 22:00:38] Хабиб Вентиляция : А там отверстие сделали?
[6/17/23, 22:00:41] Хабиб Вентиляция : В поликлинике
‎[6/17/23, 22:01:13] investklimat: ‎<прикреплено: 00000670-AUDIO-2023-06-17-22-01-12.opus>
[6/17/23, 22:01:41] Хабиб Вентиляция : Хорошо
[6/18/23, 10:40:25] Хабиб Вентиляция : Ассаламу алайкум
[6/18/23, 11:19:28] investklimat: Валейкум Ассалам
[6/18/23, 11:52:02] Хабиб Вентиляция : Куда приехать ?
[6/18/23, 11:57:36] investklimat: Шамиля 18
[6/18/23, 12:06:09] Хабиб Вентиляция : Выехал
[6/18/23, 12:19:26] Хабиб Вентиляция : Я на месте
[6/18/23, 12:20:55] investklimat: Выхожу
[6/18/23, 15:31:53] Хабиб Вентиляция : На 7этаж проект есть ?
[6/18/23, 15:40:42] investklimat: Да
[6/18/23, 15:40:54] investklimat: Скину чуть позже
[6/18/23, 18:07:26] Хабиб Вентиляция : Ок
[6/19/23, 18:45:05] Хабиб Вентиляция : Ассаламу алайкум
[6/19/23, 18:54:44] investklimat: Валейкум Ассалам
‎[6/19/23, 19:02:59] Хабиб Вентиляция : ‎<прикреплено: 00000685-AUDIO-2023-06-19-19-02-59.opus>
[6/19/23, 19:06:03] investklimat: Нет, просто загружен. Его чуть доработать нужно
[6/19/23, 19:06:12] investklimat: Сегодня отправлю
‎[6/19/23, 19:47:02] investklimat: 3 Д1.pdf • ‎1 страница ‎<прикреплено: 00000688-3 Д1.pdf>
‎[6/19/23, 19:47:02] investklimat: 3 Д2.pdf • ‎1 страница ‎<прикреплено: 00000689-3 Д2.pdf>
‎[6/19/23, 19:47:02] investklimat: План.pdf • ‎1 страница ‎<прикреплено: 00000690-План.pdf>
[6/19/23, 19:57:04] Хабиб Вентиляция : По квадратуре не шитал?
[6/19/23, 20:20:30] investklimat: Нет
[6/22/23, 20:58:11] Хабиб Вентиляция : Ассаламу алайкум
[6/22/23, 20:58:18] Хабиб Вентиляция : Как дела?
[6/22/23, 20:58:25] Хабиб Вентиляция : Есть какие нибудь новости
[6/22/23, 21:20:22] investklimat: Валейкум Ассалам
[6/22/23, 21:21:17] investklimat: Отверстия делает Рамазан
[6/22/23, 21:21:57] investklimat: На следующей неделе наверно можно будет туда поехать
[6/22/23, 21:22:11] Хабиб Вентиляция : Понял
[6/22/23, 21:22:18] Хабиб Вентиляция : Металл есть?
[6/22/23, 21:23:30] investklimat: Закажу на днях
[6/22/23, 21:23:44] investklimat: Завтра или послезавтра
[6/22/23, 21:24:15] Хабиб Вентиляция : Хорошо
[6/26/23, 16:54:35] Хабиб Вентиляция : Ассаламу алайкум
[6/26/23, 16:54:39] Хабиб Вентиляция : Как дела?
[6/26/23, 17:01:09] investklimat: Валейкум Ассалам
[6/26/23, 17:01:16] investklimat: Все хорошо, брат
[6/26/23, 17:01:20] investklimat: Как сам?
[6/26/23, 17:03:36] Хабиб Вентиляция : Не плохо брат
[6/26/23, 17:03:52] Хабиб Вентиляция : По работе что у нас
[6/26/23, 17:03:59] Хабиб Вентиляция : Пррцессе
‎[6/26/23, 17:07:18] investklimat: ‎<прикреплено: 00000712-AUDIO-2023-06-26-17-07-17.opus>
‎[6/26/23, 17:09:09] Хабиб Вентиляция : ‎<прикреплено: 00000713-AUDIO-2023-06-26-17-09-09.opus>
‎[6/26/23, 17:18:13] investklimat: ‎<прикреплено: 00000714-AUDIO-2023-06-26-17-18-12.opus>
‎[6/26/23, 17:23:27] Хабиб Вентиляция : ‎<прикреплено: 00000715-AUDIO-2023-06-26-17-23-27.opus>
‎[6/26/23, 22:09:38] investklimat: ‎<прикреплено: 00000717-AUDIO-2023-06-26-22-09-37.opus>
[6/26/23, 22:24:57] Хабиб Вентиляция : Нет
[6/26/23, 22:28:17] Хабиб Вентиляция : Ты попал туда?
[6/26/23, 22:51:30] investklimat: Нет
‎[7/1/23, 11:59:39] investklimat: ‎<прикреплено: 00000721-AUDIO-2023-07-01-11-59-38.opus>
[7/1/23, 12:02:06] Хабиб Вентиляция : Ва алайкум ассалам все хорошо
[7/1/23, 12:02:08] Хабиб Вентиляция : Я в селе
[7/1/23, 12:02:15] Хабиб Вентиляция : Завтра в город приеду решим
[7/1/23, 12:02:29] investklimat: Машину сделал?
[7/1/23, 12:02:31] Хабиб Вентиляция : У тебя как дела
[7/1/23, 12:02:33] Хабиб Вентиляция : Нет
[7/1/23, 12:02:55] Хабиб Вентиляция : Машину сделаю когда в хасе начну
[7/1/23, 12:03:04] investklimat: Все хорошо, работаем
[7/1/23, 12:09:14] Хабиб Вентиляция : В Махачкале большой обьем?
[7/1/23, 12:22:30] investklimat: 137 кв
[7/3/23, 21:48:04] Хабиб Вентиляция : Ассаламу алайкум
[7/3/23, 21:48:13] Хабиб Вентиляция : Я в городе брат
[7/3/23, 21:53:13] investklimat: Валейкум Ассалам
[7/3/23, 21:54:32] investklimat: Понял, Хабиб. Я жду воздуховоды. Ещё не готово.
[7/3/23, 21:56:55] Хабиб Вентиляция : Я понял
[7/3/23, 21:57:00] Хабиб Вентиляция : Я заранее приехал
[7/3/23, 21:57:08] Хабиб Вентиляция : Что бы меня не ждал
[7/3/23, 21:57:50] investklimat: Я проект тебе скидывал?
[7/3/23, 21:58:09] Хабиб Вентиляция : Нет
[7/3/23, 21:58:20] investklimat: Сейчас
[7/3/23, 22:34:32] Хабиб Вентиляция : Кафе?
[7/3/23, 22:34:52] investklimat: Стоматология
[7/3/23, 22:35:15] Хабиб Вентиляция : 🤦‍♂️забыл
[7/3/23, 22:35:36] Хабиб Вентиляция : В Дербенте что?
‎[7/4/23, 00:45:24] investklimat: Проект Вентиляции. Стоматология на Гоголя..pdf • ‎6 страниц ‎<прикреплено: 00000746-Проект Вентиляции. Стоматология на Гоголя..pdf>
[7/5/23, 13:18:45] Хабиб Вентиляция : Ассаламу алайкум
[7/5/23, 13:18:56] Хабиб Вентиляция : Металл готов?
‎[7/5/23, 13:25:49] investklimat: ‎<прикреплено: 00000749-AUDIO-2023-07-05-13-25-48.opus>
[7/5/23, 13:27:18] Хабиб Вентиляция : Понял
[7/5/23, 13:27:31] Хабиб Вентиляция : Я машину отдал
[7/5/23, 13:27:44] Хабиб Вентиляция : Чуть с деньгами туго
‎[7/5/23, 13:29:55] investklimat: ‎<прикреплено: 00000753-AUDIO-2023-07-05-13-29-54.opus>
[7/5/23, 13:30:14] Хабиб Вентиляция : Жа
[7/5/23, 13:30:15] Хабиб Вентиляция : Да
[7/5/23, 13:30:33] investklimat: Сколько?
‎[7/5/23, 13:31:00] Хабиб Вентиляция : ‎<прикреплено: 00000757-AUDIO-2023-07-05-13-31-00.opus>
[7/5/23, 13:32:41] investklimat: Перевёл
[7/5/23, 13:40:07] Хабиб Вентиляция : Спасибо
[7/5/23, 13:40:09] Хабиб Вентиляция : Пришли
[7/5/23, 21:06:54] Хабиб Вентиляция : Если метал будет набери
[7/5/23, 21:48:22] investklimat: Конечно, брат. Я же жду их.
[7/5/23, 21:49:16] Хабиб Вентиляция : Я машину забрал
[7/5/23, 21:49:24] Хабиб Вентиляция : Я на старте
[7/5/23, 21:57:02] Хабиб Вентиляция : От души брат
[7/5/23, 21:57:07] Хабиб Вентиляция : Что выручил
[7/5/23, 21:57:21] Хабиб Вентиляция : Сегодня днюха тоже
[7/5/23, 21:57:39] Хабиб Вентиляция : Приезжай по сидим
[7/5/23, 22:12:23] investklimat: Поздравляю! 🕺🥳
[7/5/23, 22:12:43] Хабиб Вентиляция : Спасибо 🙏
[7/5/23, 22:12:44] investklimat: Я сам в гостях.
[7/5/23, 22:12:51] Хабиб Вентиляция : Хорошо брат
[7/7/23, 20:49:27] Хабиб Вентиляция : Ассаламу алайкум
[7/7/23, 20:49:33] Хабиб Вентиляция : Есть какие нибудь новости?
[7/7/23, 21:31:52] investklimat: Валейкум ассалам
[7/7/23, 21:32:06] investklimat: Вчера не привезли
[7/7/23, 21:32:19] investklimat: Сегодня не беспокоил их
[7/7/23, 21:32:34] investklimat: Завтра будем долбить с утра
[7/7/23, 21:45:12] Хабиб Вентиляция : Хорошо
‎[7/8/23, 18:02:00] investklimat: ‎<прикреплено: 00000780-AUDIO-2023-07-08-18-01-59.opus>
[7/8/23, 18:03:57] Хабиб Вентиляция : Ва алайкум ассалам
[7/8/23, 18:04:03] Хабиб Вентиляция : Адресс какой там?
[7/8/23, 18:04:26] investklimat: Гоголя 82
[7/8/23, 18:04:35] Хабиб Вентиляция : Ок
[7/8/23, 18:04:40] investklimat: Это где афганский парк
‎[7/8/23, 19:01:08] Хабиб Вентиляция : ‎<прикреплено: 00000786-AUDIO-2023-07-08-19-01-08.opus>
[7/8/23, 19:02:58] investklimat: Да
[7/8/23, 19:03:15] investklimat: К 9-ти
[7/8/23, 19:21:52] Хабиб Вентиляция : Расходник есть там
[7/8/23, 19:29:57] investklimat: Нет, возьму завтра утром. Как груз приму.
[7/8/23, 19:44:35] Хабиб Вентиляция : На ирчи же береш?
[7/8/23, 20:06:52] investklimat: Да
[7/8/23, 20:07:16] Хабиб Вентиляция : Клейка есть?
‎[7/8/23, 20:08:51] investklimat: ‎<прикреплено: 00000794-AUDIO-2023-07-08-20-08-50.opus>
[7/8/23, 20:12:09] Хабиб Вентиляция : Саморезы только не те
[7/8/23, 20:12:14] Хабиб Вентиляция : Которые в хасе были
[7/8/23, 20:12:20] Хабиб Вентиляция : Замучались
‎[7/9/23, 08:35:28] investklimat: Актуальный проект. Гоголя 84.pdf • ‎6 страниц ‎<прикреплено: 00000798-Актуальный проект. Гоголя 84.pdf>
‎[7/9/23, 11:58:21] investklimat: ‎<прикреплено: 00000799-PHOTO-2023-07-09-11-58-20.jpg>
‎[7/9/23, 11:58:34] investklimat: ‎<прикреплено: 00000800-AUDIO-2023-07-09-11-58-33.opus>
‎[7/9/23, 14:31:17] Хабиб Вентиляция : ‎<прикреплено: 00000801-AUDIO-2023-07-09-14-31-17.opus>
‎[7/9/23, 14:32:49] investklimat: ‎<прикреплено: 00000802-AUDIO-2023-07-09-14-32-48.opus>
[7/9/23, 14:34:30] Хабиб Вентиляция : Код какой там
‎[7/9/23, 14:34:53] investklimat: ‎<прикреплено: 00000804-AUDIO-2023-07-09-14-34-52.opus>
[7/9/23, 14:35:02] investklimat: ‎Вы удалили данное сообщение.
[7/9/23, 14:35:09] investklimat: 7070
‎[7/9/23, 14:37:59] investklimat: ‎<прикреплено: 00000807-AUDIO-2023-07-09-14-37-58.opus>
[7/9/23, 14:49:28] Хабиб Вентиляция : Хорошо
[7/9/23, 14:49:35] Хабиб Вентиляция : На месте разберусь
[7/10/23, 14:02:09] Хабиб Вентиляция : Уехал?
‎[7/10/23, 14:02:32] investklimat: ‎<прикреплено: 00000811-AUDIO-2023-07-10-14-02-31.opus>
[7/10/23, 14:34:50] Хабиб Вентиляция : На обед думал рублей 500
[7/10/23, 14:43:44] investklimat: Скинул Хабиб
[7/10/23, 14:44:03] Хабиб Вентиляция : Саул брат
‎[7/10/23, 14:44:04] Хабиб Вентиляция : ‎<прикреплено: 00000815-PHOTO-2023-07-10-14-44-04.jpg>
‎[7/10/23, 14:56:58] Хабиб Вентиляция : ‎<прикреплено: 00000816-PHOTO-2023-07-10-14-56-58.jpg>
‎[7/10/23, 17:11:45] investklimat: ‎<прикреплено: 00000817-AUDIO-2023-07-10-17-11-44.opus>
[7/10/23, 17:54:04] Хабиб Вентиляция : Пусть позвонит
[7/10/23, 17:54:06] Хабиб Вентиляция : Мне
[7/10/23, 17:54:15] Хабиб Вентиляция : У них номер есть мой
[7/10/23, 17:54:27] investklimat: Я дождусь
[7/10/23, 17:54:34] investklimat: Вы не отвлекайтесь
[7/10/23, 17:54:40] Хабиб Вентиляция : Не
[7/10/23, 17:54:43] Хабиб Вентиляция : Мы до поздно
[7/11/23, 14:07:35] Хабиб Вентиляция : Адаптер нету тут
[7/11/23, 14:10:35] investklimat: Что за адаптер?
‎[7/11/23, 14:36:03] Хабиб Вентиляция : Тут что идёт ‎<прикреплено: 00000827-PHOTO-2023-07-11-14-36-03.jpg>
‎[7/11/23, 14:36:20] Хабиб Вентиляция : ‎<прикреплено: 00000828-PHOTO-2023-07-11-14-36-20.jpg>
